"","X","gen","class","primary_cat","sub_cat","infr_desc","infr_date","harm","sex","party","dup","year","event_unique_id","subject","notes","X.1","null","deans_date","month","semester","term","month_year"
"665",691,"Male",2011,"Alcohol",NA,"served alcohol to minors in his room.",2010-04-24,"0","0","1",0,"2010","2010-04-24_Alcohol_0_0_1_0",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"666",694,"Male",2011,"Alcohol",NA,"made alcohol available to minors in his room.",2010-04-24,"0","0","1",0,"2010","2010-04-24_Alcohol_0_0_1_0",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"667",701,"Male",2012,"Alcohol",NA,"student brought 2 bottles of beer to another student's room (alcohol in common area).",2010-04-24,"0","0","1",0,"2010","2010-04-24_Alcohol_0_0_1_0",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"668",704,"Male",2012,"Disorderly Conduct",NA,"urinated in a shower stall.",2010-04-24,"1","0","0",0,"2010","2010-04-24_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"669",740,"Male",2012,"Alcohol",NA,"underage possession/consumption of alcohol via participation in drinking games and bringing alcohol into, and creating an alcohol related disturbance, within substance free housing on april 24, 2010.",2010-04-24,"0","0","1",1,"2010","2010-04-24_Alcohol_0_0_1_1",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"670",741,"Male",2012,"Alcohol",NA,"found in possession of alcohol as a minor, underage consumption via participation in drinking games, brought alcohol into and created an alcohol-related disturbance in substance-free housing.",2010-04-24,"0","0","1",1,"2010","2010-04-24_Alcohol_0_0_1_1",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"671",732,"Male",2012,"Sexual Misconduct",NA,"sexual contact w/ another student who was unable to consent on account of alcohol consumption and being asleep.",2010-04-25,"1","1","1",0,"2010","2010-04-25_Sexual Misconduct_1_1_1_0",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"672",738,"Male",2013,"Health and Safety",NA,"smoking in his dorm room",2010-04-27,"0","0","0",0,"2010","2010-04-27_Health and Safety_0_0_0_0",1,"",NA,"1","0","Apr","Spring","Spring 2010","Apr 2010"
"673",703,"Male",2013,"Health and Safety",NA,"accessed elevated surface of a campus building.",2010-04-30,"0","0","1",0,"2010","2010-04-30_Health and Safety_0_0_1_0",1,"",NA,"0","0","Apr","Spring","Spring 2010","Apr 2010"
"674",671,"Male",2011,"Alcohol",NA,"made alcohol available to minors in his room and was dishonest with a public safety officer when asked whether alcohol was being served.",2010-05-02,"0","0","1",1,"2010","2010-05-02_Alcohol_0_0_1_1",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"675",672,"Male",2011,"Alcohol",NA,"made alcohol available to minors in his room on may 2, 2010, and was dishonest with a public safety officer when asked if serving alcohol.",2010-05-02,"0","0","1",1,"2010","2010-05-02_Alcohol_0_0_1_1",2,"can't tell if this is two separate people or one person, 2 counts",NA,"0","0","May","Spring","Spring 2010","May 2010"
"676",675,"Male",2010,"Alcohol",NA,"serving to minors",2010-05-02,"0","0","1",1,"2010","2010-05-02_Alcohol_0_0_1_1",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"677",676,"Male",2010,"Alcohol",NA,"serving to minors",2010-05-02,"0","0","1",1,"2010","2010-05-02_Alcohol_0_0_1_1",2,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"678",677,"Male",2010,"Alcohol",NA,"serving to minors",2010-05-02,"0","0","1",1,"2010","2010-05-02_Alcohol_0_0_1_1",3,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"679",678,"Male",2010,"Alcohol",NA,"serving to minors",2010-05-02,"0","0","1",1,"2010","2010-05-02_Alcohol_0_0_1_1",4,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"680",697,"Male",2012,"Dishonesty/Fraud",NA,"failure to cooperate with public safety in that he did not come back into the room when requested to, but rather proceeded from balcony into adjacent room.",2010-05-02,"0","0","0",0,"2010","2010-05-02_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"681",666,"Male",2014,"Disorderly Conduct","Non-cooperation with DPS/police","evaded dps officer by running into a dorm room in spelman hall. was also dishonest with officer by saying he was visiting a friend in the room in which he sought refuge, which was a lie.",2010-05-03,"0","0","0",0,"2010","2010-05-03_Disorderly Conduct_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"682",692,"Male",2011,"Dishonesty/Fraud",NA,"fled from public safety officers.",2010-05-03,"0","0","0",0,"2010","2010-05-03_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"683",695,"Male",2013,"Alcohol",NA,"found with an open container of alcohol in a public space by borough police",2010-05-03,"0","0","1",0,"2010","2010-05-03_Alcohol_0_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"684",736,"Male",2013,"Dishonesty/Fraud",NA,"evaded public safety by entering 56 spelman",2010-05-03,"0","0","0",0,"2010","2010-05-03_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"685",735,"Male",2012,"Disorderly Conduct",NA,"threw and broke a wine bottle, and grabbed a student by the shoulders.",2010-05-04,"1","0","1",0,"2010","2010-05-04_Disorderly Conduct_1_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"686",698,"Male",2010,"Property Damage & Vandalism",NA,"responsible for property danage in that, while under the influence of alcohol, you broke windows at the ivy club.",2010-05-05,"0","0","1",0,"2010","2010-05-05_Property Damage & Vandalism_0_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"687",722,"Male",2011,"Health and Safety",NA,"entered open manhole cover.",2010-05-07,"0","0","0",0,"2010","2010-05-07_Health and Safety_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"688",689,"Male",2010,"Dishonesty/Fraud",NA,"mis-used a meal card intended for the cantonese language table in mathey.",2010-05-10,"0","0","0",0,"2010","2010-05-10_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"689",681,"Male",2012,"Disorderly Conduct","Non-cooperation with medical personnel","physically resisted assistance from pfars while under the influence of alcohol.",2010-05-12,"0","0","1",0,"2010","2010-05-12_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"690",696,"Female",2012,"Health and Safety",NA,"found setting fire to notes outside of a university building",2010-05-13,"0","0","0",0,"2010","2010-05-13_Health and Safety_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"691",717,"Male",2012,"Drugs",NA,"possession and use of marijuana.",2010-05-17,"0","0","1",1,"2010","2010-05-17_Drugs_0_0_1_1",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"692",718,"Female",2012,"Drugs",NA,"use of marijuana.",2010-05-17,"0","0","1",1,"2010","2010-05-17_Drugs_0_0_1_1",2,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"693",721,"Female",2013,"Drugs",NA,"smoked marijuana.",2010-05-17,"0","0","1",0,"2010","2010-05-17_Drugs_0_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"694",723,"Female",2011,"Alcohol",NA,"picked up by princeton twp. police after knocking on the door of a private residence at 4am, lost and under the influence of alcohol.",2010-05-17,"0","0","1",0,"2010","2010-05-17_Alcohol_0_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"695",734,"Male",2016,"Theft",NA,"theft: stole laptop and demanded money in exchange for return of laptop and files; misuse of electronic resources: used u's network to send emails demading money, and stored files on u computer",2010-05-17,"1","0","0",0,"2010","2010-05-17_Theft_1_0_0_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"696",737,"Female",2013,"Health and Safety",NA,"dismantled fire alarm in dorm room last spring.",2010-05-18,"0","0","0",0,"2010","2010-05-18_Health and Safety_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"697",680,"Male",2011,"Drugs",NA,"smoked marijuana in dorm room.",2010-05-19,"0","0","0",0,"2010","2010-05-19_Drugs_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"698",688,"Male",2010,"Disorderly Conduct",NA,"lying to ps and yelling in the frist campus center while intoxicated",2010-05-19,"0","0","1",0,"2010","2010-05-19_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"699",690,"Male",2010,"Drugs",NA,"smoking marijuana and possession of drug paraphernalia.",2010-05-19,"0","0","0",0,"2010","2010-05-19_Drugs_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"700",707,"Male",2013,"Disorderly Conduct",NA,"streaking across campus with other freshman members of the nassoons.",2010-05-19,"0","1","1",1,"2010","2010-05-19_Disorderly Conduct_0_1_1_1",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"701",708,"Male",2013,"Disorderly Conduct",NA,"dancing around the fountain with other freshman nassoons.",2010-05-19,"0","0","1",1,"2010","2010-05-19_Disorderly Conduct_0_1_1_1",2,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"702",709,"Male",2013,"Disorderly Conduct",NA,"found jogging nude on campus.",2010-05-19,"0","1","1",1,"2010","2010-05-19_Disorderly Conduct_0_1_1_1",3,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"703",710,"Male",2013,"Disorderly Conduct",NA,"engaging in public nudity.",2010-05-19,"0","1","1",1,"2010","2010-05-19_Disorderly Conduct_0_1_1_1",4,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"704",711,"Male",2013,"Disorderly Conduct",NA,"found with group of fellow nassoons running naked around scudders plaza.",2010-05-19,"0","1","1",1,"2010","2010-05-19_Disorderly Conduct_0_1_1_1",5,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"705",712,"Male",2013,"Disorderly Conduct",NA,"ran around scudder plaza fountain naked as part of nassoons student group activity.",2010-05-19,"0","1","1",1,"2010","2010-05-19_Disorderly Conduct_0_1_1_1",6,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"706",713,"Male",2013,"Disorderly Conduct",NA,"ran naked around scudders plaza as part of a student group activity.",2010-05-19,"0","1","1",1,"2010","2010-05-19_Disorderly Conduct_0_1_1_1",7,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"707",673,"Male",2010,"Drugs",NA,"smoking marijuana",2010-05-20,"0","0","0",0,"2010","2010-05-20_Drugs_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"708",684,"Female",2010,"Drugs",NA,"smoking marijuana",2010-05-20,"0","0","1",1,"2010","2010-05-20_Drugs_0_0_1_1",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"709",685,"Female",2010,"Drugs",NA,"smoking marijuana.",2010-05-20,"0","0","1",1,"2010","2010-05-20_Drugs_0_0_1_1",2,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"710",686,"Male",2010,"Drugs",NA,"smoking marijuana",2010-05-20,"0","0","1",1,"2010","2010-05-20_Drugs_0_0_1_1",3,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"711",687,"Female",2010,"Drugs",NA,"smoking marijuana",2010-05-20,"0","0","1",1,"2010","2010-05-20_Drugs_0_0_1_1",4,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"712",693,"Male",2011,"Drugs",NA,"smoked marijuana in nassoons room.",2010-05-20,"0","0","0",0,"2010","2010-05-20_Drugs_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"713",720,"Male",2011,"Drugs",NA,"smoked marijuana in nassoons' practice room",2010-05-20,"0","0","0",0,"2010","2010-05-20_Drugs_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"714",715,"Male",2012,"Drugs",NA,"smoked marijuana in his room.",2010-05-21,"0","0","0",0,"2010","2010-05-21_Drugs_0_0_0_0",1,"",NA,"1","0","May","Spring","Spring 2010","May 2010"
"715",725,"Female",2012,"Health and Safety",NA,"violated university's regulations regarding personal safety and honesty.",2010-05-23,"1","0","0",0,"2010","2010-05-23_Health and Safety_1_0_0_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"716",700,"Male",2011,"Disorderly Conduct",NA,"disorderly conduct and unauthorized entry because he was loud and disruptive in dormitory hallways at around 4:30am and entered unoccupied rooms.",2010-05-24,"1","0","0",0,"2010","2010-05-24_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"717",714,"Male",2012,"Disorderly Conduct",NA,"disorderly conduct and theft while under the influence.",2010-05-24,"1","0","1",0,"2010","2010-05-24_Disorderly Conduct_1_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"718",719,"Female",2012,"Theft",NA,"took someone else's bike to ride home from prom.",2010-05-31,"1","0","1",0,"2010","2010-05-31_Theft_1_0_1_0",1,"",NA,"0","0","May","Spring","Spring 2010","May 2010"
"719",760,"Male",2012,"Dishonesty/Fraud",NA,"failed to be straightfoward with building services staff in requesting two additional beds for his suite.",2010-09-04,"0","0","0",0,"2010","2010-09-04_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"720",762,"Male",2014,"Disorderly Conduct",NA,"uncooperative with dps in that he resisted instructions and refused to show his puid; made verbal threats of physical violence against dps.",2010-09-11,"1","0","0",0,"2010","2010-09-11_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"721",758,"Male",2014,"Theft",NA,"student found an iphone and, without any attempt to locate its previous owner, converted it to personal use and then sold it for profit to another student.",2010-09-13,"1","0","0",1,"2010","2010-09-13_Theft_1_0_0_1",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"722",786,"Male",2012,"Alcohol",NA,"served alcohol to minors in his room",2010-09-13,"0","0","1",0,"2010","2010-09-13_Alcohol_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"723",788,"Male",2011,"Alcohol",NA,"provided alcohol to a party where minors were served.",2010-09-13,"0","0","1",0,"2010","2010-09-13_Alcohol_0_0_1_0",2,"2nd person for event described on row 787",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"724",748,"Male",2014,"Drugs",NA,"possession of marijuana and drug paraphernalia",2010-09-14,"0","0","0",0,"2010","2010-09-14_Drugs_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"725",768,"Male",2014,"Drugs",NA,"possession of marijuana",2010-09-14,"0","0","0",0,"2010","2010-09-14_Drugs_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"726",746,"Male",2012,"Disorderly Conduct",NA,"failure to cooperate with public safety. princeton first aid & rescue squad and u. medical center at princeton staff in that he physically resisted and was verbally abusive while intoxicated. also had fake driver's license.",2010-09-15,"1","0","1",0,"2010","2010-09-15_Disorderly Conduct_1_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"727",751,"Male",2011,"Alcohol",NA,"made beer available to minors in his room, and possessed an object capable of being used as a weapon--specifically a blunt-edged replica of a samurai sword.",2010-09-15,"0","0","1",0,"2010","2010-09-15_Alcohol_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"728",755,"Male",2012,"Alcohol",NA,"making alcohol available to people under the age of 21 at party held in his room.",2010-09-15,"0","0","1",0,"2010","2010-09-15_Alcohol_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"729",761,"Male",2014,"Dishonesty/Fraud",NA,"wallet contained fake id",2010-09-15,"0","0","0",0,"2010","2010-09-15_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"730",745,"Male",2012,"Drugs",NA,"smoking marijuana and possession of drug paraphernalia.",2010-09-19,"0","0","0",0,"2010","2010-09-19_Drugs_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"731",756,"Male",2012,"Alcohol",NA,"holding a can of beer outside during lawn parties",2010-09-19,"0","0","1",0,"2010","2010-09-19_Alcohol_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"732",757,"Male",2014,"Theft",NA,"purchased iphone from another student knowing that it was stolen property.",2010-09-19,"1","0","0",1,"2010","2010-09-19_Theft_1_0_0_1",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"733",763,"Female",2011,"Assault",NA,"pushed, unzipped the dress of, and pulled the flower of the hair of one student, and pushed and pulled the hair of another. made racially insensitive remark.",2010-09-19,"1","1","0",0,"2010","2010-09-19_Assault_1_1_0_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"734",767,"Male",2014,"Property Damage & Vandalism",NA,"destruction of property while intoxicated.",2010-09-19,"0","0","1",0,"2010","2010-09-19_Property Damage & Vandalism_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"735",764,"Male",2013,"Dishonesty/Fraud",NA,"evaded public safety and was in possession of stop sign.",2010-09-21,"0","0","0",1,"2010","2010-09-21_Dishonesty/Fraud_0_0_0_1",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"736",765,"Male",2013,"Dishonesty/Fraud",NA,"evaded public safety and was in possession of a stop sign.",2010-09-21,"0","0","0",1,"2010","2010-09-21_Dishonesty/Fraud_0_0_0_1",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"737",753,"Male",2014,"Alcohol",NA,"found on nassau street in possession of a 12-pack of beer that a 21-year-old friend purchased for him.",2010-09-22,"0","0","0",0,"2010","2010-09-22_Alcohol_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"738",804,"Male",2013,"Dishonesty/Fraud",NA,"student had false identification on his person.",2010-09-25,"0","0","0",0,"2010","2010-09-25_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"739",754,"Male",2013,"Health and Safety",NA,"smoking in dorm room.",2010-09-26,"0","0","0",0,"2010","2010-09-26_Health and Safety_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"740",752,"Female",2013,"Disorderly Conduct",NA,"failure to cooperate with a public safety officer while also being intoxicated.",2010-09-27,"0","0","1",0,"2010","2010-09-27_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"741",778,"Male",2011,"Disorderly Conduct",NA,"left the scene of a minor motor vehicle accident without consulting campus or local authorities, or the owner of the other vehicle.",2010-09-28,"1","0","0",0,"2010","2010-09-28_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Sep","Fall","Fall 2010","Sep 2010"
"742",772,"Male",2013,"Disorderly Conduct",NA,"unauthorized entry into university steam tunnels.",2010-09-30,"0","0","0",1,"2010","2010-09-30_Disorderly Conduct_0_0_0_1",1,"",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"743",774,"Female",2011,"Disorderly Conduct",NA,"unauthorized entry, in that she entered steam tunnels.",2010-09-30,"0","0","0",1,"2010","2010-09-30_Disorderly Conduct_0_0_0_1",2,"2nd person for event described on row 773",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"744",775,"Female",2013,"Disorderly Conduct",NA,"unathorized entry into university steam tunnels.",2010-09-30,"0","0","0",1,"2010","2010-09-30_Disorderly Conduct_0_0_0_1",3,"3rd person for event described on row 773",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"745",776,"Female",2011,"Disorderly Conduct",NA,"unauthorized entry, in that she entered university steam tunnels",2010-09-30,"0","0","0",1,"2010","2010-09-30_Disorderly Conduct_0_0_0_1",4,"4th person for event described on row 773",NA,"1","0","Sep","Fall","Fall 2010","Sep 2010"
"746",769,"Male",2012,"Health and Safety",NA,"failed to seek help on behalf of severely intoxicated individual, while he was under the influence of alcohol.",2010-10-01,"0","0","1",0,"2010","2010-10-01_Health and Safety_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"747",739,"Male",2014,"Health and Safety",NA,"failure to assist an intoxicated student.",2010-10-03,"0","0","1",0,"2010","2010-10-03_Health and Safety_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"748",770,"Male",2011,"Health and Safety",NA,"failed to seek help on behalf of severely intoxicated individual.",2010-10-03,"0","0","1",0,"2010","2010-10-03_Health and Safety_0_0_1_0",2,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"749",777,"Female",2011,"Health and Safety",NA,"failed to seek help on behalf of a severely intoxicated individual.",2010-10-03,"0","0","1",0,"2010","2010-10-03_Health and Safety_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"750",766,"Male",2014,"Health and Safety",NA,"went on blair roof.",2010-10-08,"0","0","0",0,"2010","2010-10-08_Health and Safety_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"751",779,"Female",2016,"Assault",NA,"pushed one student, punched/scratched another; made homophobic remark to a  student; made scene at and had to be removed from terrace club, while intoxicated.",2010-10-08,"1","0","1",0,"2010","2010-10-08_Assault_1_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"752",785,"Male",2014,"Disorderly Conduct",NA,"public urination, verbal non-cooperation and brief physical struggle with public safety.",2010-10-09,"1","0","0",0,"2010","2010-10-09_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"753",790,"Male",2014,"Alcohol",NA,"served alcoholic beverages to minors and non-cooperation with public safety.",2010-10-09,"0","0","1",0,"2010","2010-10-09_Alcohol_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"754",771,"Male",2012,"Drugs",NA,"smoked marijuana in his room.",2010-10-10,"0","0","0",0,"2010","2010-10-10_Drugs_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"755",795,"Male",2012,"Property Damage & Vandalism",NA,"damaged entry door to 134 henry hall by kicking it open to gain access to his dorm room while intoxicated.",2010-10-11,"0","0","1",0,"2010","2010-10-11_Property Damage & Vandalism_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"756",773,"Male",2012,"Disorderly Conduct",NA,"unauthorized entry into university steam tunnels.",2010-10-13,"0","0","0",0,"2010","2010-10-13_Disorderly Conduct_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"757",802,"Male",2013,"Theft",NA,"misappropriation of a dining services golf cart.",2010-10-14,"0","0","0",1,"2010","2010-10-14_Theft_0_0_0_1",1,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"758",803,"Male",2012,"Theft",NA,"misappropriation of a dining services golf cart.",2010-10-14,"0","0","0",1,"2010","2010-10-14_Theft_0_0_0_1",2,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"759",780,"Male",2012,"Drugs",NA,"possession/smoking marijuana & possession of prescription medication w/o a prescription.",2010-10-15,"0","0","1",1,"2010","2010-10-15_Drugs_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"760",781,"Male",2012,"Drugs",NA,"smoking marijuana",2010-10-15,"0","0","1",1,"2010","2010-10-15_Drugs_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"761",782,"Male",2011,"Drugs",NA,"providing another student with prescription medication.",2010-10-15,"0","0","1",1,"2010","2010-10-15_Drugs_0_0_1_1",3,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"762",783,"Male",2012,"Drugs",NA,"smoking marijuana",2010-10-15,"0","0","1",1,"2010","2010-10-15_Drugs_0_0_1_1",4,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"763",799,"Female",2013,"Health and Safety",NA,"noncompliance w/ inspection staff in that she failed to surrender candles and for burning incence in her room",2010-10-15,"0","0","0",0,"2010","2010-10-15_Health and Safety_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"764",784,"Female",2012,"Disorderly Conduct",NA,"noncooperation with dps & uhs while intoxicated",2010-10-16,"0","0","1",0,"2010","2010-10-16_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"765",789,"Male",2014,"Property Damage & Vandalism",NA,"noncooperation w/ps and vandalizing a ps vehicle.",2010-10-17,"0","0","0",0,"2010","2010-10-17_Property Damage & Vandalism_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"766",791,"Male",2014,"Disorderly Conduct",NA,"created a public disturbance while intoxicated",2010-10-17,"0","0","1",0,"2010","2010-10-17_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"767",793,"Male",2012,"Disorderly Conduct",NA,"unauthorized entry, in that he spent the night in basement of murray theater.",2010-10-23,"0","0","0",0,"2010","2010-10-23_Disorderly Conduct_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2010","Oct 2010"
"768",798,"Male",2012,"Disorderly Conduct",NA,"non-cooperation in that he refused to leave the dining hall and failed to give his name and address to dps while intoxicated.",2010-10-29,"0","0","1",0,"2010","2010-10-29_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"769",797,"Male",2014,"Harassment/Respect for Others",NA,"wrote, in challk, foul language and images on the walls of whitman college's north hall, thereby creating an offensive and uncomfortable environment.",2010-10-31,"1","0","0",0,"2010","2010-10-31_Harassment/Respect for Others_1_0_0_0",1,"",NA,"0","0","Oct","Fall","Fall 2010","Oct 2010"
"770",794,"Male",2012,"Dishonesty/Fraud",NA,"attempted to use his sister's puid to swipe in for a meal",2010-11-01,"0","0","0",0,"2010","2010-11-01_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Nov","Fall","Fall 2010","Nov 2010"
"771",796,"Male",2013,"Disorderly Conduct",NA,"student was uncooperative with and rude to umcp er staff while intoxicated.",2010-11-01,"0","0","1",0,"2010","2010-11-01_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2010","Nov 2010"
"772",787,"Male",2013,"Dishonesty/Fraud",NA,"puid confiscated at charter club after someone other than michael attempted to use it to gain entry.",2010-11-03,"0","0","0",0,"2010","2010-11-03_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Nov","Fall","Fall 2010","Nov 2010"
"773",800,"Male",2012,"Theft",NA,"stole a keg & wheel barrel from terrace and failed to present himself to dps while intoxicated.",2010-11-09,"0","0","1",1,"2010","2010-11-09_Theft_0_0_1_1",1,"",NA,"0","0","Nov","Fall","Fall 2010","Nov 2010"
"774",801,"Male",2012,"Theft",NA,"stole a keg & wheel barrow from terrace and failed to present himself to ps while intoxicated.",2010-11-09,"0","0","1",1,"2010","2010-11-09_Theft_0_0_1_1",1,"",NA,"0","0","Nov","Fall","Fall 2010","Nov 2010"
"775",883,"Male",2011,"Dishonesty/Fraud",NA,"lied to p.safety officer about the incident of nov. 12, 2010 both on the scene and in the follow-up interview.",2010-11-12,"0","0","0",1,"2010","2010-11-12_Dishonesty/Fraud_0_0_0_1",1,"",NA,"1","0","Nov","Fall","Fall 2010","Nov 2010"
